title,bedrooms,price,post_time,location
Renovated 4 bedroom 2 Bath apartment available in Prime Crown Heights!,4,3795.0,within 1h ago,crown heights
Private Oasis In Great Neck,1,2200.0,within 1h ago,other
NO FEE!! LARGE 3 BED+ALL UTILITIES INCLUDED (HEAT/HOT WATER AND ELECTR,3,5500.0,within 1h ago,other
PRIVATE DECK * RENOVATED HOUSE * WINDOWS * CENTRAL AIR & HEAT *,3,3000.0,within 1h ago,other
IN UNIT WASHER DRYER * CENTRAL AIR & HEAT * HARDWOOD FLOORS *,3,3000.0,within 1h ago,other
FULL 1ST FLOOR OF A 3 STORY / 3 UNIT HOUSE * CENTRAL AIR & HEAT *,3,2999.0,within 1h ago,other
NO FEE!! DEAL. LUXURY BUILDING>3 bed (Flex 4). 2 Bath/ W/D in Unit. St,3,8200.0,within 1h ago,other
1 Bedroom Apartment For Rent,1,1600.0,within 1h ago,other
NAME ME A CHEAPER TRUE 2 BEDROOM IN THE AREA,2,3700.0,within 1h ago,financial district
Amazing Apartment in the Heart of The Financial District WOW!,2,3100.0,within 1h ago,financial district
NO FEE Prewar Luxury 2BD by the Central Park - Washer Dryer,2,6000.0,within 1h ago,other
Live a life you'll love in a gorgeous renovated 1 bed / 1 bath!,1,1835.0,within 1h ago,other
13th & Third:  No-Fee Convertible 3-bedroom 2-bath w washer & dryer,3,5495.0,within 1h ago,other
Cozy and Modern 1 Bedroom Apartment near Madison Park in,1,3550.0,within 1h ago,other
"4 Bedroom DUPLEX, 2 Full Baths",4,4500.0,within 1h ago,buschwick
"$1,3oo STUDIO ~ UTILITIES INCLUDED",1,1.0,within 1h ago,other
"$1,4oo STUDIO 1st Floor w/Yard+Driveway - PETS OK!",1,1.0,within 1h ago,other
"$1,9oo 1Bed 1Bath w/Dishwasher+W/D+Courtyard+Laundry ~ LIC, Queens",1,1.0,within 1h ago,other
RENT STABILIZED!! 2 Bed. Free Utilities Included (FREE  ELECTRIC)! Thi,2,4305.0,within 1h ago,other
2 Bedroom 1 Bathroom Apartment 2 floors + balcony for rent Greak Kills,2,2000.0,within 1h ago,other
"NO FEE!!RENT STABILIZED. LARGE UNIT,  2  Bed 1 Bath No Fee, w/ Free EL",2,4300.0,within 1h ago,other
NO-FEE MODERN 4 BED/ 1 BATH APT NEAR TRAIN IN THE HEART OF CROWN HEIGH,4,2995.0,within 1h ago,crown heights
Penthouse corner 3BD/2BA. W/D In-Unit. Brooklyn & City Views! NO FEE!,3,11500.0,within 1h ago,other
Spacious 3 Bedroom Apartment in Bushwick {REF#692},3,2900.0,within 1h ago,buschwick
Gorgeous newly renovated 3 bedroom 2 bath apartment available in Bushw,3,2999.0,within 1h ago,buschwick
3 BED 2 BATHS_ELEVATOR_LAUNDRY_ROOF DECK_WEST 51 ST,3,5750.0,within 1h ago,other
"Stunning One Bdrm, Sun Drenched Modern Unit, Nr Montrose L",1,2899.0,within 1h ago,other
BRAND NEW 3BR 2 FULL BATH UNIT AVAILABLE 3/1,3,2600.0,within 1h ago,other
