STOP_ID,STOP_FRISK_DATE,STOP_FRISK_TIME,YEAR2,MONTH2,DAY2,STOP_WAS_INITIATED,RECORD_STATUS_CODE,ISSUING_OFFICER_RANK,ISSUING_OFFICER_COMMAND_CODE,SUPERVISING_OFFICER_RANK,SUPERVISING_OFFICER_COMMAND_CODE,SUPERVISING_ACTION_CORRESPONDING_ACTIVITY_LOG_ENTRY_REVIEWED,LOCATION_IN_OUT_CODE,JURISDICTION_CODE,JURISDICTION_DESCRIPTION,OBSERVED_DURATION_MINUTES,SUSPECTED_CRIME_DESCRIPTION,STOP_DURATION_MINUTES,OFFICER_EXPLAINED_STOP_FLAG,OFFICER_NOT_EXPLAINED_STOP_DESCRIPTION,OTHER_PERSON_STOPPED_FLAG,SUSPECT_ARRESTED_FLAG,SUSPECT_ARREST_OFFENSE,SUMMONS_ISSUED_FLAG,SUMMONS_OFFENSE_DESCRIPTION,OFFICER_IN_UNIFORM_FLAG,ID_CARD_IDENTIFIES_OFFICER_FLAG,SHIELD_IDENTIFIES_OFFICER_FLAG,VERBAL_IDENTIFIES_OFFICER_FLAG,FRISKED_FLAG,SEARCHED_FLAG,ASK_FOR_CONSENT_FLG,CONSENT_GIVEN_FLG,OTHER_CONTRABAND_FLAG,FIREARM_FLAG,KNIFE_CUTTER_FLAG,OTHER_WEAPON_FLAG,WEAPON_FOUND_FLAG,PHYSICAL_FORCE_CEW_FLAG,PHYSICAL_FORCE_DRAW_POINT_FIREARM_FLAG,PHYSICAL_FORCE_HANDCUFF_SUSPECT_FLAG,PHYSICAL_FORCE_OC_SPRAY_USED_FLAG,PHYSICAL_FORCE_OTHER_FLAG,PHYSICAL_FORCE_RESTRAINT_USED_FLAG,PHYSICAL_FORCE_VERBAL_INSTRUCTION_FLAG,PHYSICAL_FORCE_WEAPON_IMPACT_FLAG,BACKROUND_CIRCUMSTANCES_VIOLENT_CRIME_FLAG,BACKROUND_CIRCUMSTANCES_SUSPECT_KNOWN_TO_CARRY_WEAPON_FLAG,SUSPECTS_ACTIONS_CASING_FLAG,SUSPECTS_ACTIONS_CONCEALED_POSSESSION_WEAPON_FLAG,SUSPECTS_ACTIONS_DECRIPTION_FLAG,SUSPECTS_ACTIONS_DRUG_TRANSACTIONS_FLAG,SUSPECTS_ACTIONS_IDENTIFY_CRIME_PATTERN_FLAG,SUSPECTS_ACTIONS_LOOKOUT_FLAG,SUSPECTS_ACTIONS_OTHER_FLAG,SUSPECTS_ACTIONS_PROXIMITY_TO_SCENE_FLAG,SEARCH_BASIS_ADMISSION_FLAG,SEARCH_BASIS_CONSENT_FLAG,SEARCH_BASIS_HARD_OBJECT_FLAG,SEARCH_BASIS_INCIDENTAL_TO_ARREST_FLAG,SEARCH_BASIS_OTHER_FLAG,SEARCH_BASIS_OUTLINE_FLAG,DEMEANOR_CODE,DEMEANOR_OF_PERSON_STOPPED,SUSPECT_REPORTED_AGE,SUSPECT_SEX,SUSPECT_RACE_DESCRIPTION,SUSPECT_HEIGHT,SUSPECT_WEIGHT,SUSPECT_BODY_BUILD_TYPE,SUSPECT_EYE_COLOR,SUSPECT_HAIR_COLOR,SUSPECT_OTHER_DESCRIPTION,STOP_LOCATION_PRECINCT,STOP_LOCATION_SECTOR_CODE,STOP_LOCATION_APARTMENT,STOP_LOCATION_FULL_ADDRESS,STOP_LOCATION_STREET_NAME,STOP_LOCATION_X,STOP_LOCATION_Y,STOP_LOCATION_PATROL_BORO_NAME,STOP_LOCATION_BORO_NAME
1,2021/1/1,01:50:00,2021,January,Friday,Based on C/W on Scene,APP,SGT,42,POM,42,Y,I,P,PSB,0,CPW,2,Y,NaN,N,Y,ASSAULT,N,NaN,Y,NaN,NaN,NaN,Y,Y,N,N,N,NaN,NaN,NaN,N,NaN,NaN,Y,NaN,NaN,NaN,NaN,NaN,NaN,Y,NaN,Y,Y,NaN,NaN,NaN,NaN,Y,NaN,NaN,NaN,Y,NaN,NaN,DE,APP NORMAL,40,MALE,BLACK,6.2,200,THN,BRO,BLD,NaN,42,B,2C,850 JENNINGS ST,JENNINGS ST,1013737,242476,PBBX,BRONX
2,2021/1/1,10:55:00,2021,January,Friday,Based on Radio Run,APP,POM,105,SGT,105,Y,NaN,P,PSB,1,ROBBERY,10,Y,NaN,N,Y,ROBBERY,N,NaN,Y,NaN,NaN,NaN,N,Y,N,N,N,NaN,NaN,NaN,N,NaN,NaN,NaN,NaN,NaN,NaN,Y,NaN,NaN,NaN,NaN,NaN,Y,NaN,NaN,NaN,NaN,Y,NaN,NaN,NaN,Y,NaN,NaN,DE,NERVOUS,19,MALE,BLACK,5.11,160,THN,BRO,BLK,NA,105,B,NaN,219 ST && 139 AVE,219 ST,1052511,184460,PBQS,QUEENS
3,2021/1/1,10:10:00,2021,January,Friday,Based on C/W on Scene,APP,POM,106,SGT,106,N,NaN,P,PSB,1,OTHER,1,Y,NaN,N,Y,ASSAULT,N,NaN,Y,NaN,NaN,NaN,N,Y,NaN,NaN,N,NaN,NaN,NaN,N,NaN,NaN,NaN,NaN,NaN,NaN,Y,NaN,NaN,NaN,NaN,NaN,Y,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Y,NaN,NaN,DE,INTOXICATED,NaN,MALE,ASIAN / PACIFIC ISLANDER,NaN,NaN,MED,NaN,NaN,YELLOW SWEATER,106,A,NaN,151 AVE && 84 ST,151 AVE,1025662,182632,PBQS,QUEENS
4,2021/1/1,20:17:00,2021,January,Friday,Based on C/W on Scene,APP,POM,83,LT,83,Y,O,NaN,NaN,1,ASSAULT,5,Y,NaN,N,N,NaN,N,NaN,Y,NaN,NaN,NaN,Y,Y,Y,Y,N,NaN,NaN,NaN,N,NaN,NaN,NaN,NaN,NaN,NaN,Y,NaN,Y,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Y,NaN,NaN,NaN,NaN,Y,NaN,NaN,DE,CALM,28,MALE,BLACK,6,180,MED,BRO,BLK,NaN,73,A,NaN,BROADWAY && MAC DOUGAL ST,BROADWAY,1010122,187312,PBBN,BROOKLYN
5,2021/1/1,19:59:00,2021,January,Friday,Based on Radio Run,APP,POM,26,SGT,26,Y,I,P,PSB,1,RAPE,30,Y,NaN,N,N,NaN,N,NaN,Y,NaN,NaN,NaN,Y,N,N,NaN,N,NaN,NaN,NaN,N,NaN,NaN,Y,NaN,NaN,NaN,NaN,NaN,Y,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Y,NaN,NaN,NaN,NaN,NaN,NaN,DE,CONFUSED,19,MALE,BLACK,6.2,185,MED,BRO,BLK,UNKNOWN,26,C,4D,439 W 125 ST,W 125 ST,996623,235311,PBMN,MANHATTAN
6,2021/1/1,21:29:00,2021,January,Friday,Based on Radio Run,APP,POM,42,SGT,42,Y,O,NaN,NaN,0,ASSAULT,6,Y,NaN,N,Y,ASSAULT,N,NaN,Y,NaN,NaN,NaN,Y,Y,Y,Y,Y,NaN,Y,NaN,Y,NaN,NaN,NaN,NaN,NaN,NaN,Y,NaN,Y,NaN,NaN,NaN,Y,NaN,NaN,NaN,NaN,Y,NaN,Y,NaN,NaN,NaN,NaN,DE,NERVOUS,32,MALE,WHITE HISPANIC,5.1,160,THN,BRO,BLK,NaN,42,B,NaN,1440 BOSTON RD,BOSTON RD,1013048,242983,PBBX,BRONX
7,2021/1/1,16:33:00,2021,January,Friday,Based on Self Initiated,APP,POM,76,SGT,76,Y,O,P,PSB,30,PETIT LARCENY,5,Y,NaN,N,N,NaN,N,NaN,Y,NaN,NaN,NaN,N,N,N,N,N,NaN,NaN,NaN,N,NaN,NaN,NaN,NaN,NaN,NaN,Y,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Y,NaN,NaN,NaN,NaN,NaN,NaN,NaN,DE,IRATE,32,MALE,BLACK,5.11,170,THN,BRO,BLK,NaN,76,A,NaN,HICKS STREET && KANE STREET,HICKS STREET,984160,188429,PBBS,BROOKLYN
8,2021/1/2,20:48:00,2021,January,Saturday,Based on Radio Run,APP,POM,42,LT,42,Y,O,P,PSB,1,CPW,5,Y,NaN,N,N,NaN,N,NaN,Y,NaN,NaN,NaN,Y,N,Y,N,N,NaN,NaN,NaN,N,NaN,NaN,NaN,NaN,NaN,NaN,Y,NaN,Y,NaN,NaN,NaN,Y,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,DE,CALM,45,MALE,WHITE HISPANIC,5.1,170,MED,BRO,BLK,BLACK HAT BLACK JACKET GRAY SHIRT BLUE JEANS,42,B,NaN,1016 E 174 ST,E 174 ST,1016413,243830,PBBX,BRONX
9,2021/1/2,19:50:00,2021,January,Saturday,Based on Self Initiated,APP,POM,808,SGT,808,Y,I,H,Housing,1,CPW,5,Y,NaN,N,N,NaN,N,NaN,Y,NaN,NaN,NaN,Y,N,N,N,N,NaN,NaN,NaN,N,NaN,NaN,Y,NaN,NaN,NaN,Y,NaN,NaN,Y,NaN,Y,NaN,NaN,NaN,Y,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,DE,NERVOUS,27,MALE,BLACK,5.9,160,THN,BRO,BLK,N/A,43,B,NaN,2140 SEWARD AVE,SEWARD AVE,1025585,238179,PBBX,BRONX
10,2021/1/2,22:34:00,2021,January,Saturday,Based on Self Initiated,APP,POM,76,SGT,76,Y,NaN,P,PSB,1,BURGLARY,4,Y,NaN,Y,N,NaN,N,NaN,Y,NaN,NaN,NaN,Y,Y,N,Y,N,NaN,NaN,NaN,N,NaN,NaN,NaN,NaN,NaN,NaN,Y,NaN,NaN,NaN,Y,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Y,NaN,NaN,NaN,NaN,BC,#N/A,57,MALE,WHITE HISPANIC,5.3,150,THN,BRO,BRO,NaN,76,A,NaN,147 COLUMBIA ST,COLUMBIA ST,983789,189522,PBBS,BROOKLYN
